,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ASA_P,70.74141469516084,64.92530064060296,84.5812648345994,72.52394735074103,83.89752888228146,100.0,97.14298255782055,,77.603430503793,64.99812174821726,83.18957121994337,,100.0,90.37260720538002,74.95269429771002,100.0,94.39980236353672,93.31165460771015,100.0,81.67573553778675
CASA-,,,,,,63.29972472126229,,,56.485692476800054,,,,70.33473167680708,,,,,,,
DGc(F),,,,,,,,,,,,65.6004928171473,,,,,,,,
DGel,,50.926703315421676,,63.94788830675707,,,,69.73875245750337,,58.33483458923124,84.43713056029203,68.5712313090109,66.05736857668703,91.33346536307826,74.24011186027415,71.07100725070693,79.34741201939784,,,76.14705211528847
Gw(F),,,,64.74204555432799,,,,,,,,,,,,,82.08456253613092,,,
HBd,77.51872057162234,69.73395136033722,,100.0,75.2622822975354,,,82.76553800032048,,,97.40081553399139,70.46492842818151,,,,64.98011308646939,91.94849932918318,,65.1715433015691,79.5882817347494
HOMO,,,,,,,,,59.91012533834036,,,,,,,,,,,
MK-C,,,,,,,,70.83743705075695,,,,,,,,,,57.01885729323798,,
Q_RPC+,,,,,,,,,61.6916807480726,,,,,,,,,,,
W(F),66.79150087868925,52.964884446769545,,79.08138278225837,59.19940932963973,77.36566774235986,83.79908877807321,74.26796323472693,68.6288566490102,77.65361807873063,92.06307916200224,100.0,83.97799751013704,96.79683320764289,89.05306176520315,65.55539767981581,77.23984730435569,62.26136374703993,70.81509134480206,
W(U),,,,,,,,,,,,68.14734999224859,,,71.64201068828233,,75.24313201855813,,,
fa_atr,100.0,63.202168644972645,76.64737440055404,91.06158617828733,90.96770812991534,81.25712187076343,73.52166227156599,100.0,76.81708802665858,81.1345283208383,72.90992910813594,83.96879346024633,68.53356777504655,100.0,94.1679386202642,72.67443086660737,79.44376855583137,71.1075282360491,69.39777984760292,94.5895779746848
fa_elec,85.42861687058418,60.80353680372149,78.41292648176517,72.44572749418606,57.50872036438268,,69.21023233341066,69.30847765497445,,,68.58649122883823,,61.82334301739532,84.35352954361977,97.53923464091334,,,51.68325682913173,,69.67598435738356
fa_rep,,,,,,,,,,60.68504170008402,,66.36471207524819,,74.44726967937264,,,,,68.59892347424538,
fa_sol,67.50826041521304,,,,,,66.55260144015273,,,,69.13274714752544,,,,,,77.42270161217714,,,75.60904353961203
h_logD,,,77.62280176500468,,,,64.92902418796129,,,,,,69.7544018230855,,,,,,,
hbond_bb_sc,,,,66.29344649493426,,64.16349503073823,76.9965444183482,,58.45276018731836,,,70.83614909166924,,,,,,59.873851162404975,,
hbond_sc,69.5604251712165,,72.0361918611937,63.753204249426396,78.52109464553287,66.11957896519546,,,66.55334154333178,,,,,87.38641256771822,80.53685710773037,62.889260470609045,,61.70957012433752,74.56058583269954,
interface_delta_X,,53.44203961855081,72.92518681319525,,54.56625121258221,,,82.58909030383072,,71.53917424712759,,,,72.3056769736421,,,,,64.6306832048744,70.71028986457935
npr1,97.17955514256222,100.0,73.70211963760015,90.32467820082776,69.6260849443411,83.34875334398154,100.0,85.78759430069822,62.08660789586404,83.20039710637369,,89.06056411771777,88.66970153787304,,85.99176488488828,77.98198044784205,94.74197193242723,100.0,82.52364883298829,100.0
vsa_acc,67.48792165212423,50.0382818354403,72.14472227051101,,,86.20282281768502,80.18943312245662,90.39377420046651,,58.4089042481306,85.76889327556275,,60.18828838586485,73.7008838017252,80.86180270391596,74.56063698511373,,,79.81390430219041,74.14272217178893
vsa_hyd,,,89.90866048398911,,85.25089522195141,70.02885527243696,,,,57.745500179817874,73.13670361968607,,,,,62.666107403878144,,83.99180791717012,,
vsurf_A,72.32609671254615,53.95122560608973,100.0,,100.0,84.85664690255332,80.81847231088707,97.20590988124452,100.0,100.0,100.0,84.17650048454455,64.34920145912018,76.39052643313369,100.0,79.4765568185764,100.0,86.81903119525956,92.35350412119605,90.72406035995114
