,4-Aminobenzonitrile,4-Nitrophenylacetonitrile,4-(Dimethylamino)benzonitrile,4-Chlorobenzonitrile,"2,6-Dichlorobenzonitrile",2-Aminobenzonitrile,4-Methoxybenzonitrile,Cinnamonitrile,3-Phenylpropionitrile,Cyclohexancarbonitrile,2-Methylglutaronitrile,⍺-Methylbenzyl cyanide,Valeronitrile,Isophthalonitrile,4-Hydroxybenzonitrile,Propionitrile,Benzoylacetonitrile,Mandelonitrile,Benzonitrile,Acrylonitrile
1a1,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1a17,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
1a2,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
1a27,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True
1a8,False,True,False,True,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True
1b15,True,True,False,False,True,True,False,True,True,True,False,True,True,False,True,True,True,True,True,True
1b16,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2a6,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True
3a2,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True
3wuy,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
pmi26,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
pmi28,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True
